id,newid,Y2015_ttl,Y2015_man_bus_fin,Y2015_com_eng_sci,Y2015_edu_leg_cs_art,Y2015_healthc,Y2015_service,Y2015_sales_office,Y2015_nat_rec_con_maint,Y2015_prod_tran_mov
1500000US530530602001,530602001,562,118,37,60,55,55,158,28,51
1500000US530530603001,530603001,461,80,0,88,91,41,123,10,28
1500000US530530603002,530603002,642,167,50,69,23,90,153,48,42
1500000US530530603003,530603003,960,106,22,185,101,168,185,82,111
1500000US530530604001,530604001,295,64,18,76,60,17,25,17,18
1500000US530530604002,530604002,359,56,46,72,52,40,44,18,31
1500000US530530604003,530604003,372,57,18,106,61,104,7,0,19
1500000US530530604004,530604004,638,119,56,53,45,103,145,75,42
1500000US530530604005,530604005,436,122,6,18,55,42,163,6,24
1500000US530530605001,530605001,454,91,61,26,82,0,155,0,39
1500000US530530605002,530605002,490,171,8,49,78,35,84,35,30
1500000US530530605003,530605003,480,81,34,80,27,59,147,9,43
1500000US530530605004,530605004,328,86,6,76,6,52,82,10,10
1500000US530530605005,530605005,574,164,20,122,77,71,70,40,10
1500000US530530606001,530606001,561,174,52,136,81,31,71,16,0
1500000US530530606002,530606002,705,180,0,17,42,113,131,148,74
1500000US530530606003,530606003,506,148,0,97,15,85,105,15,41
1500000US530530606004,530606004,474,70,77,133,18,46,58,14,58
1500000US530530606005,530606005,392,14,54,90,40,57,58,62,17
1500000US530530606006,530606006,210,52,14,29,13,63,39,0,0
1500000US530530607001,530607001,656,208,0,46,28,92,172,28,82
1500000US530530607002,530607002,500,71,22,103,15,85,141,22,41
1500000US530530607003,530607003,772,139,33,124,91,173,160,17,35
1500000US530530607004,530607004,632,100,92,47,0,161,120,72,40
1500000US530530607005,530607005,565,15,18,75,4,191,239,0,23
1500000US530530607006,530607006,307,90,22,47,0,74,45,0,29
1500000US530530608001,530608001,462,51,88,98,31,0,107,16,71
1500000US530530608002,530608002,383,69,75,60,0,15,84,50,30
1500000US530530608003,530608003,459,75,34,43,14,125,88,39,41
1500000US530530608004,530608004,248,0,17,64,36,28,49,25,29
1500000US530530608005,530608005,447,88,14,13,62,63,55,79,73
1500000US530530608006,530608006,498,44,7,200,14,56,80,64,33
1500000US530530608007,530608007,291,65,8,0,23,31,80,71,13
1500000US530530609031,530609031,433,70,22,35,14,142,102,16,32
1500000US530530609032,530609032,347,60,40,45,16,70,83,0,33
1500000US530530609033,530609033,743,138,45,93,74,126,126,70,71
1500000US530530609041,530609041,451,18,31,19,0,106,158,70,49
1500000US530530609042,530609042,1004,188,122,159,15,224,142,57,97
1500000US530530609043,530609043,681,73,22,37,11,114,164,0,260
1500000US530530609044,530609044,704,117,37,0,54,188,239,41,28
1500000US530530609051,530609051,871,170,14,116,104,121,168,92,86
1500000US530530609052,530609052,348,19,0,66,28,43,102,90,0
1500000US530530609053,530609053,463,138,24,59,15,97,74,0,56
1500000US530530609054,530609054,634,199,0,59,24,153,140,59,0
1500000US530530609055,530609055,585,89,31,71,66,89,222,17,0
1500000US530530609061,530609061,663,91,32,119,28,116,129,68,80
1500000US530530609062,530609062,341,19,15,90,6,42,110,39,20
